AlumniEventID,AlumniID,EventID,ParticipationDate,FeedbackScore
AE00001,ALU0255,EVT0014,3/1/2026,1
AE00002,ALU0441,EVT0035,6/19/2026,3
AE00003,ALU1970,EVT0030,5/30/2025,2
AE00004,ALU0135,EVT0029,11/23/2026,1
AE00005,ALU0690,EVT0009,6/1/2026,5
AE00006,ALU1285,EVT0028,2/8/2026,2
AE00007,ALU1352,EVT0014,2/2/2026,2
AE00008,ALU0637,EVT0031,1/15/2026,5
AE00009,ALU0663,EVT0017,8/18/2026,4
AE00010,ALU0152,EVT0021,3/5/2025,4
AE00011,ALU0393,EVT0015,6/16/2027,3
AE00012,ALU1085,EVT0010,1/15/2024,1
AE00013,ALU0804,EVT0019,8/14/2023,1
AE00014,ALU1658,EVT0034,6/17/2024,4
AE00015,ALU0390,EVT0001,12/23/2023,3
AE00016,ALU0761,EVT0017,2/17/2023,3
AE00017,ALU0504,EVT0019,12/11/2024,3
AE00018,ALU1240,EVT0011,11/4/2024,3
AE00019,ALU1667,EVT0006,7/25/2024,1
AE00020,ALU1828,EVT0005,5/4/2024,1
AE00021,ALU0615,EVT0007,1/13/2023,4
AE00022,ALU1535,EVT0024,11/21/2023,5
AE00023,ALU0867,EVT0006,10/15/2025,2
AE00024,ALU0847,EVT0031,2/24/2023,4
AE00025,ALU0891,EVT0011,9/19/2025,4
AE00026,ALU1097,EVT0025,12/5/2023,4
AE00027,ALU0356,EVT0002,10/3/2024,3
AE00028,ALU1916,EVT0013,4/25/2025,1
AE00029,ALU1918,EVT0006,5/24/2024,3
AE00030,ALU0587,EVT0030,9/16/2024,3
AE00031,ALU1749,EVT0026,9/6/2024,4
AE00032,ALU0102,EVT0024,2/26/2023,1
AE00033,ALU0904,EVT0021,8/9/2023,3
AE00034,ALU0558,EVT0020,9/19/2025,5
AE00035,ALU0571,EVT0021,7/10/2025,2
AE00036,ALU1619,EVT0024,1/17/2024,5
AE00037,ALU1042,EVT0023,10/17/2025,3
AE00038,ALU1390,EVT0015,8/9/2024,5
AE00039,ALU0399,EVT0016,8/18/2024,1
AE00040,ALU1230,EVT0031,10/3/2023,3
AE00041,ALU0063,EVT0035,8/15/2024,5
AE00042,ALU1720,EVT0025,12/22/2023,2
AE00043,ALU0472,EVT0025,12/28/2022,2
AE00044,ALU1925,EVT0003,2/14/2024,5
AE00045,ALU1903,EVT0001,9/29/2024,4
AE00046,ALU0181,EVT0024,8/13/2023,3
AE00047,ALU1884,EVT0011,9/29/2024,3
AE00048,ALU1002,EVT0011,2/13/2025,2
AE00049,ALU1481,EVT0005,5/18/2024,3
AE00050,ALU1251,EVT0008,4/3/2024,5
AE00051,ALU0131,EVT0010,12/5/2024,1
AE00052,ALU0782,EVT0028,2/28/2024,4
AE00053,ALU0972,EVT0020,6/4/2023,4
AE00054,ALU1449,EVT0029,10/6/2024,5
AE00055,ALU1207,EVT0026,11/24/2023,4
AE00056,ALU1425,EVT0021,12/6/2024,5
AE00057,ALU0695,EVT0032,1/31/2023,4
AE00058,ALU0555,EVT0020,10/28/2023,2
AE00059,ALU0277,EVT0006,4/3/2024,2
AE00060,ALU1456,EVT0031,5/19/2024,2
AE00061,ALU0922,EVT0026,7/3/2023,4
AE00062,ALU1899,EVT0005,6/27/2024,2
AE00063,ALU1967,EVT0007,7/25/2023,2
AE00064,ALU1644,EVT0021,11/28/2023,3
AE00065,ALU1284,EVT0001,4/24/2024,1
AE00066,ALU1314,EVT0003,9/2/2025,5
AE00067,ALU0836,EVT0020,1/24/2025,4
AE00068,ALU1272,EVT0024,6/11/2025,3
AE00069,ALU0078,EVT0009,4/20/2025,1
AE00070,ALU0038,EVT0035,2/4/2025,3
AE00071,ALU0319,EVT0033,11/28/2024,5
AE00072,ALU1374,EVT0025,8/9/2025,5
AE00073,ALU1352,EVT0010,9/28/2024,2
AE00074,ALU1247,EVT0001,10/27/2022,2
AE00075,ALU1677,EVT0035,1/23/2023,3
AE00076,ALU0216,EVT0031,1/7/2024,3
AE00077,ALU0252,EVT0006,11/24/2023,1
AE00078,ALU1301,EVT0031,8/3/2025,1
AE00079,ALU1951,EVT0007,3/28/2023,3
AE00080,ALU1592,EVT0031,10/17/2024,1
AE00081,ALU0261,EVT0026,6/23/2025,5
AE00082,ALU0959,EVT0021,8/22/2024,5
AE00083,ALU0608,EVT0006,1/5/2024,1
AE00084,ALU1481,EVT0013,7/17/2025,4
AE00085,ALU0559,EVT0016,12/29/2024,3
AE00086,ALU0338,EVT0019,1/15/2025,5
AE00087,ALU0619,EVT0035,11/12/2024,5
AE00088,ALU0010,EVT0025,2/1/2023,4
AE00089,ALU0976,EVT0033,11/30/2024,2
AE00090,ALU0750,EVT0017,12/24/2024,4
AE00091,ALU0443,EVT0035,9/30/2023,2
AE00092,ALU0449,EVT0034,6/17/2024,3
AE00093,ALU1717,EVT0033,4/22/2024,4
AE00094,ALU0073,EVT0032,6/18/2025,2
AE00095,ALU1525,EVT0021,4/23/2025,4
AE00096,ALU0601,EVT0014,8/3/2025,4
AE00097,ALU1596,EVT0034,9/7/2023,2
AE00098,ALU1261,EVT0034,9/3/2024,3
AE00099,ALU1778,EVT0009,5/8/2024,3
AE00100,ALU1469,EVT0035,1/28/2025,5
AE00101,ALU1562,EVT0021,4/15/2023,5
AE00102,ALU1229,EVT0025,11/12/2024,1
AE00103,ALU0405,EVT0034,11/4/2024,4
AE00104,ALU0441,EVT0021,7/12/2025,4
AE00105,ALU0850,EVT0029,10/1/2023,4
AE00106,ALU1032,EVT0017,3/4/2024,1
AE00107,ALU0789,EVT0006,1/5/2023,4
AE00108,ALU0932,EVT0024,7/17/2024,2
AE00109,ALU1732,EVT0024,8/10/2024,3
